[[4, 3], [8, 0], [15, 7], [14, 16], [17, 18], [10, 21], [6, 23], [24, 12], [9, 25], [27, 20], [26, 28], [2, 29], [5, 30], [1, 31], [13, 32], [11, 33], [34, 19], [35, 22], [4, 3], [8, 0], [15, 7], [14, 16], [17, 18], [10, 21], [6, 23], [24, 12], [9, 25], [27, 20], [26, 28], [2, 29], [5, 30], [1, 31], [13, 32], [11, 33], [34, 19], [35, 22], [4, 3], [8, 0], [15, 7], [14, 16], [17, 18], [10, 21], [6, 23], [24, 12], [9, 25], [27, 20], [26, 28], [2, 29], [5, 30], [1, 31], [13, 32], [11, 33], [34, 19], [35, 22], [14, 8], [18, 0], [15, 10], [6, 21], [17, 23], [16, 12], [7, 24], [2, 5], [29, 30], [1, 4], [27, 31], [26, 13], [28, 32], [9, 33], [19, 20], [34, 11], [22, 25], [35, 3]]
[[14, 8], [18, 0], [15, 10], [6, 21], [17, 23], [16, 12], [7, 24], [2, 5], [29, 30], [1, 4], [27, 31], [26, 13], [28, 32], [9, 33], [19, 20], [34, 11], [22, 25], [35, 3], [14, 8], [18, 0], [15, 10], [6, 21], [17, 23], [16, 12], [7, 24], [2, 5], [29, 30], [1, 4], [27, 31], [26, 13], [28, 32], [9, 33], [19, 20], [34, 11], [22, 25], [35, 3], [6, 15], [0, 16], [7, 17], [5, 23], [29, 2], [18, 4], [13, 10], [27, 26], [28, 14], [24, 32], [21, 9], [31, 20], [11, 19], [34, 8], [1, 22], [25, 33], [3, 12], [35, 30], [6, 15], [0, 16], [7, 17], [5, 23], [29, 2], [18, 4], [13, 10], [27, 26], [28, 14], [24, 32], [21, 9], [31, 20], [11, 19], [34, 8], [1, 22], [25, 33], [3, 12], [35, 30]]
[[6, 15], [0, 16], [7, 17], [5, 23], [29, 2], [18, 4], [13, 10], [27, 26], [28, 14], [24, 32], [21, 9], [31, 20], [11, 19], [34, 8], [1, 22], [25, 33], [3, 12], [35, 30], [2, 7], [4, 5], [14, 15], [0, 28], [13, 32], [21, 26], [29, 9], [11, 17], [31, 19], [8, 20], [34, 16], [1, 6], [22, 10], [27, 25], [3, 33], [24, 12], [23, 30], [35, 18], [2, 7], [4, 5], [14, 15], [0, 28], [13, 32], [21, 26], [29, 9], [11, 17], [31, 19], [8, 20], [34, 16], [1, 6], [22, 10], [27, 25], [24, 12], [3, 33], [23, 30], [35, 18], [2, 7], [4, 5], [14, 15], [0, 28], [13, 32], [21, 26], [29, 9], [11, 17], [31, 19], [8, 20], [34, 16], [1, 6], [22, 10], [27, 25], [24, 12], [3, 33], [23, 30], [35, 18]]
[[26, 28], [9, 4], [21, 17], [31, 19], [20, 32], [34, 13], [1, 14], [6, 7], [16, 10], [0, 25], [24, 11], [27, 12], [3, 29], [8, 33], [5, 23], [30, 22], [18, 15], [2, 35], [26, 28], [9, 4], [21, 17], [31, 19], [20, 32], [34, 13], [6, 7], [1, 14], [16, 10], [0, 25], [24, 11], [27, 12], [3, 29], [8, 33], [5, 23], [30, 22], [18, 15], [2, 35], [26, 28], [9, 4], [21, 17], [31, 19], [20, 32], [34, 13], [6, 7], [1, 14], [16, 10], [0, 25], [24, 11], [27, 12], [3, 29], [8, 33], [5, 23], [30, 22], [18, 15], [2, 35], [21, 31], [20, 17], [32, 4], [13, 1], [6, 14], [12, 7], [28, 11], [3, 10], [29, 19], [26, 8], [33, 34], [23, 9], [27, 5], [22, 16], [15, 25], [30, 18], [2, 24], [0, 35]]
[[21, 31], [20, 17], [32, 4], [13, 1], [6, 14], [12, 7], [28, 11], [3, 10], [29, 19], [26, 8], [33, 34], [23, 9], [27, 5], [22, 16], [15, 25], [30, 18], [2, 24], [0, 35], [21, 31], [20, 17], [32, 4], [13, 1], [6, 14], [12, 7], [28, 11], [3, 10], [29, 19], [26, 8], [33, 34], [23, 9], [27, 5], [22, 16], [15, 25], [30, 18], [2, 24], [0, 35], [4, 13], [7, 12], [6, 28], [11, 3], [26, 29], [33, 8], [19, 9], [23, 31], [27, 14], [16, 20], [21, 22], [5, 15], [30, 10], [34, 25], [2, 18], [24, 17], [1, 0], [32, 35], [4, 13], [7, 12], [6, 28], [11, 3], [26, 29], [33, 8], [19, 9], [27, 14], [16, 20], [21, 22], [23, 31], [5, 15], [30, 10], [34, 25], [2, 18], [24, 17], [1, 0], [32, 35]]
[[4, 13], [7, 12], [6, 28], [11, 3], [26, 29], [33, 8], [19, 9], [27, 14], [16, 20], [21, 22], [23, 31], [5, 15], [30, 10], [34, 25], [2, 18], [24, 17], [1, 0], [32, 35], [3, 11], [33, 7], [19, 8], [16, 28], [26, 22], [12, 31], [5, 14], [20, 15], [30, 27], [25, 6], [10, 34], [18, 4], [9, 24], [29, 17], [0, 23], [21, 1], [32, 13], [35, 2], [3, 11], [33, 7], [19, 8], [26, 22], [16, 28], [12, 31], [5, 14], [20, 15], [30, 27], [25, 6], [10, 34], [18, 4], [9, 24], [29, 17], [21, 1], [0, 23], [32, 13], [35, 2], [3, 11], [33, 7], [19, 8], [26, 22], [16, 28], [12, 31], [5, 14], [20, 15], [30, 27], [25, 6], [10, 34], [18, 4], [9, 24], [29, 17], [21, 1], [0, 23], [32, 13], [35, 2]]
[[12, 31], [20, 11], [7, 30], [26, 6], [10, 15], [9, 27], [24, 19], [14, 17], [28, 29], [33, 18], [34, 4], [21, 25], [1, 0], [23, 8], [13, 3], [32, 5], [2, 16], [22, 35], [12, 31], [20, 11], [7, 30], [26, 6], [10, 15], [24, 19], [9, 27], [14, 17], [28, 29], [33, 18], [34, 4], [1, 0], [23, 8], [21, 25], [13, 3], [32, 5], [2, 16], [22, 35], [12, 31], [20, 11], [7, 30], [26, 6], [10, 15], [24, 19], [9, 27], [14, 17], [28, 29], [33, 18], [34, 4], [1, 0], [23, 8], [21, 25], [13, 3], [32, 5], [2, 16], [22, 35], [31, 26], [15, 9], [27, 30], [17, 6], [19, 14], [20, 33], [10, 8], [23, 12], [21, 29], [28, 0], [34, 1], [18, 13], [3, 5], [24, 32], [2, 11], [4, 16], [22, 25], [35, 7]]
[[31, 26], [15, 9], [17, 6], [19, 14], [27, 30], [20, 33], [10, 8], [23, 12], [28, 0], [21, 29], [34, 1], [18, 13], [3, 5], [24, 32], [2, 11], [4, 16], [22, 25], [35, 7], [31, 26], [15, 9], [17, 6], [19, 14], [27, 30], [20, 33], [10, 8], [23, 12], [28, 0], [21, 29], [34, 1], [18, 13], [3, 5], [24, 32], [2, 11], [4, 16], [22, 25], [35, 7], [27, 9], [26, 20], [10, 30], [29, 14], [31, 23], [0, 34], [18, 15], [3, 1], [5, 8], [24, 6], [32, 28], [2, 19], [16, 33], [17, 4], [11, 22], [21, 25], [13, 7], [35, 12], [27, 9], [26, 20], [29, 14], [10, 30], [31, 23], [0, 34], [18, 15], [3, 1], [5, 8], [24, 6], [32, 28], [17, 4], [2, 19], [16, 33], [11, 22], [21, 25], [13, 7], [35, 12]]
[[27, 9], [26, 20], [29, 14], [10, 30], [31, 23], [0, 34], [18, 15], [3, 1], [5, 8], [24, 6], [32, 28], [17, 4], [2, 19], [16, 33], [11, 22], [21, 25], [13, 7], [35, 12], [23, 10], [0, 20], [15, 9], [24, 34], [28, 6], [8, 32], [17, 26], [3, 2], [31, 4], [29, 16], [33, 1], [18, 11], [25, 22], [27, 21], [13, 5], [30, 7], [12, 19], [35, 14], [23, 10], [0, 20], [15, 9], [28, 6], [8, 32], [24, 34], [3, 2], [17, 26], [31, 4], [29, 16], [33, 1], [18, 11], [25, 22], [27, 21], [13, 5], [30, 7], [12, 19], [35, 14], [23, 10], [0, 20], [15, 9], [28, 6], [8, 32], [24, 34], [3, 2], [17, 26], [31, 4], [29, 16], [33, 1], [18, 11], [25, 22], [27, 21], [13, 5], [30, 7], [12, 19], [35, 14]]
[[2, 20], [17, 15], [31, 34], [16, 3], [23, 29], [1, 9], [11, 33], [0, 22], [6, 21], [27, 26], [10, 13], [25, 5], [28, 7], [32, 30], [12, 4], [18, 19], [8, 14], [35, 24], [2, 20], [17, 15], [16, 3], [23, 29], [1, 9], [31, 34], [0, 22], [6, 21], [27, 26], [11, 33], [10, 13], [25, 5], [28, 7], [32, 30], [12, 4], [18, 19], [8, 14], [35, 24], [2, 20], [17, 15], [16, 3], [23, 29], [1, 9], [31, 34], [0, 22], [6, 21], [27, 26], [11, 33], [10, 13], [25, 5], [28, 7], [32, 30], [12, 4], [18, 19], [8, 14], [35, 24], [21, 17], [26, 1], [27, 6], [15, 11], [33, 16], [23, 13], [5, 34], [25, 2], [7, 0], [28, 30], [10, 32], [4, 22], [18, 29], [19, 12], [8, 3], [14, 9], [24, 31], [20, 35]]
[[21, 17], [26, 1], [27, 6], [15, 11], [33, 16], [23, 13], [25, 2], [7, 0], [28, 30], [10, 32], [5, 34], [19, 12], [4, 22], [18, 29], [8, 3], [14, 9], [24, 31], [20, 35], [21, 17], [26, 1], [27, 6], [15, 11], [33, 16], [23, 13], [25, 2], [7, 0], [28, 30], [10, 32], [5, 34], [19, 12], [4, 22], [18, 29], [8, 3], [14, 9], [24, 31], [20, 35], [26, 17], [27, 11], [6, 23], [25, 0], [28, 1], [10, 13], [32, 7], [30, 5], [15, 12], [4, 16], [29, 21], [33, 22], [34, 18], [3, 8], [19, 9], [2, 24], [31, 14], [20, 35], [26, 17], [27, 11], [6, 23], [25, 0], [28, 1], [10, 13], [32, 7], [30, 5], [15, 12], [4, 16], [29, 21], [33, 22], [34, 18], [3, 8], [19, 9], [2, 24], [31, 14], [20, 35]]
